Metropolitan/FMR Area Name,Crime Index
"New York, NY",47.35
"Los Angeles, CA",48.89
"Chicago, IL",65.17
"Houston, TX",63.95
"Phoenix, AZ",51.93
"Philadelphia, PA",61.78
"San Antonio, TX",48.89
"San Diego, CA",36.74
"Dallas, TX",50.13
"San Jose, CA",46.1
"Austin, TX",37.19
"Jacksonville, FL",17.65
"Fort Worth, TX",43.09
"Columbus, OH",43.79
"Indianapolis, IN",56.85
"Charlotte, NC",44.82
"San Francisco, CA",57.24
"Seattle, WA",49.7
"Denver, CO",44.19
"Washington, DC",58.26
"Nashville, TN",48.4
"Oklahoma City, OK",49.93
"El Paso, TX",33.22
"Boston, MA",34.79
"Portland, OR",51.21
