HOME and Housing Trust Fund Homeownership Sales Price Limits - FY 2021,,,,,,,,,,,,,,,,,,,,,,,,
"(Data through June 2020; New limits effective June 1, 2021)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,Existing Homes HOME/HTF Purchase Price Limit,,,,,,,,New Homes HOME/HTF Purchase Price Limit,,,,,,,,,,,,,
State,County Name,Metropolitan/FMR Area Name,1-Unit,2-unit,3-unit,4-unit,Unadjusted Median Value,Years Worth of Sales Data*,Number of Sales for Unadjusted Median**,Geographic Area Used,1-Unit,2-unit,3-unit,4-unit,Unadjusted Median Value,Years Worth of Sales Data*,Number of Sales for Unadjusted Median**,Geographic Area Used,Metropolitan/FMR Area Name,,state2,metro_code,fipscounty,
AL,Jefferson County,"Birmingham-Hoover, AL HUD Metro FMR Area","$199,000","$254,000","$308,000","$381,000","$209,000",1,"4,476",County,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO13820M13820,01073,,,
AL,St. Clair County,"Birmingham-Hoover, AL HUD Metro FMR Area","$195,000","$250,000","$302,000","$375,000","$205,400",1,727,County,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO13820M13820,01115,,,
AL,Shelby County,"Birmingham-Hoover, AL HUD Metro FMR Area","$202,000","$258,000","$313,000","$388,000","$212,550",1,"1,500",County,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO13820M13820,01117,,,
AL,Chilton County,"Chilton County, AL HUD Metro FMR Area","$150,000","$193,000","$233,000","$289,000","$158,350",1,"4,130",Non-Metro State,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO13820N01021,01021,,,
AL,Walker County,"Walker County, AL HUD Metro FMR Area","$150,000","$193,000","$233,000","$289,000","$158,350",1,"4,130",Non-Metro State,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO13820N01127,01127,,,
AL,Russell County,"Columbus, GA-AL MSA","$150,000","$193,000","$233,000","$289,000","$158,350",1,"4,130",Non-Metro State,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO17980M17980,01113,,,
AL,Baldwin County,"Daphne-Fairhope-Foley, AL MSA","$209,000","$268,000","$324,000","$401,000","$220,000",1,"1,573",County,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO19300M19300,01003,,,
AL,Lawrence County,"Decatur, AL MSA","$152,000","$195,000","$236,000","$292,000","$160,000",1,"1,073",Metro,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO19460M19460,01079,,,
AL,Morgan County,"Decatur, AL MSA","$154,000","$197,000","$239,000","$295,000","$162,000",1,934,County,"$243,000","$311,000","$377,000","$467,000","$256,000",1,0,Non-Metro US,1,METRO19460M19460,01103,,,
